title,University,Degree,Fees
International Innovation Management,Hochschule Stralsund - University of Applied Sciences,"Master / Full-time, Part-time / On Campus, Blended",Free
Natural Products and Drug Chemistry,University of Bayreuth,M.Sc. / Full-time / On Campus,"15,614,197 IRR / year"
Biomedical Technologies,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Artificial Intelligence and Data Science,Heinrich Heine University Düsseldorf,M.Sc. / Full-time / On Campus,Free
Language Science and Technology,Saarland University,M.Sc. / Full-time / On Campus,"17,338,464 IRR / year"
Materials Science and Engineering,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
"Ecology, Evolution, and Environment",University of Cologne,M.Sc. / Full-time / On Campus,Free
Physics,University of Cologne,M.Sc. / Full-time / On Campus,Free
Impact MSc in Data Science for Sustainable Development,Tomorrow University of Applied Sciences,M.Sc. / Part-time / Online,"367,173,106 IRR / year"
Biomedical Engineering,Heidelberg University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Mathematics,Darmstadt University of Technology,M.Sc. / Full-time / On Campus,Free
"Engineering and International Business - Renewable Energy, Water and Waste Management",SRH University,M.Eng. / Full-time / On Campus,"651,389,804 IRR / year"
Pharmaceutical Medicine,Fresenius University of Applied Sciences,M.Sc. / Part-time / On Campus,"413,824,111 IRR / year"
Materials Science,University of Paderborn,M.Sc. / Full-time / On Campus,Free
Mathematics,University of Potsdam,M.Sc. / Full-time / On Campus,Free
Polymer Science,TU Berlin,M.Sc. / Full-time / On Campus,Free
Polymer Science,TU Berlin,M.Sc. / Full-time / On Campus,Free
Computational Methods in Engineering,Otto von Guericke University Magdeburg,M.Sc. / Full-time / On Campus,Free
Business Administration,University of Passau,M.Sc. / Full-time / On Campus,Free
Integrated Life Sciences,Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),M.Sc. / Full-time / On Campus,Free
"Impact MSc in Sustainability, Innovation and Technology",Tomorrow University of Applied Sciences,"M.Sc. / Full-time, Part-time / Online","462,965,724 IRR / year"
Biophysics,Ulm University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Electrical Power Engineering,RWTH Aachen University,M.Sc. / Full-time / On Campus,Free
Digital Journalism,Media University of Applied Sciences,"M.A. / Full-time, Part-time / On Campus","42,627,715 IRR / module"
Data Science,Lancaster University Leipzig,M.Sc. / Full-time / On Campus,"1,125,563,264 IRR / year"
Media and Communication Science,Ilmenau University of Technology,M.A. / Full-time / On Campus,Free
Quantum Engineering,Leibniz University Hannover,"Master / Full-time, Part-time / On Campus","41,095,033 IRR / year"
Web Engineering,Chemnitz University of Technology,M.Sc. / Full-time / On Campus,"28,258,822 IRR / year"
Executive Master in EU Studies,Centre international de formation européenne - CIFE,Master / Part-time / Blended,"234,691,915 IRR / year"
Design Entrepreneurship,Osnabrück University of Applied Sciences,M.A. / Full-time / On Campus,"28,737,785 IRR / year"
Archaeological Sciences and Human Evolution,University of Tübingen,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Health Science - Prevention and Health Promotion,Technical University of Munich,M.Sc. / Full-time / On Campus,"383,170,473 IRR / year"
Sustainable Development Management,Rhine-Waal University of Applied Sciences,M.A. / Full-time / On Campus,Free
Management and Engineering in Computer Aided Mechanical Engineering,RWTH Aachen University,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Global Urban Health,University of Freiburg,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Materials Science,Ludwig-Maximilians-University (LMU) Munich,Master / Full-time / On Campus,"287,377,855 IRR / year"
Materials Science,Ludwig-Maximilians-University (LMU) Munich,Master / Full-time / On Campus,"287,377,855 IRR / year"
Roads to Democracies - Historical and Contemporary Perspectives on Politics and Culture,University of Siegen,M.A. / Full-time / On Campus,Free
Molecular Science - Spectroscopy and Simulation,Ruhr University Bochum,M.Sc. / Full-time / On Campus,Free
Business Analytics and Econometrics,University of Cologne,M.Sc. / Full-time / On Campus,Free
Medical Engineering,FH Aachen - University of Applied Sciences,M.Sc. / Full-time / On Campus,Free
eXtended Artificial Intelligence,University of Würzburg,M.Sc. / Full-time / On Campus,Free
Nutritional Medicine,University of Lübeck,M.Sc. / Full-time / On Campus,Free
Cognitive Science,Ruhr University Bochum,M.Sc. / Full-time / On Campus,Free
International Business and Intercultural Management,Heilbronn University of Applied Sciences,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
Biomedical Engineering and Medical Physics,Technical University of Munich,M.Sc. / Full-time / On Campus,"574,755,709 IRR / year"
Information Systems,University of Liechtenstein,M.Sc. / Full-time / On Campus,"128,200,191 IRR / year"
Digital Media,University of Bremen,M.Sc. / Full-time / On Campus,Free
Biochemistry,Ludwig-Maximilians-University (LMU) Munich,M.Sc. / Full-time / On Campus,Free
Tourism Futures Studies,Heilbronn University of Applied Sciences,M.Sc. / Full-time / On Campus,"71,844,464 IRR / year"
General Management,PFH Private University of Applied Sciences,M.Sc. / Full-time / On Campus,"488,542,353 IRR / year"
Vision Science and Business (Optometry),Aalen University of Applied Sciences,M.Sc. / Part-time / On Campus,"143,688,927 IRR / year"
Infection Biology,Lübeck University of Applied Sciences,Master / Full-time / On Campus,Free
Matter to Life,Heidelberg University,M.Sc. / Full-time / On Campus,"143,688,927 IRR / year"
